id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12386968,JE256584,6/6/2021 22:30,007XX E 47TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,223,2,4,38,6,1182174,1874015,2021,6/13/2021 16:53,41.8095187,-87.6073336,(41.8095187-87.6073336)
12387794,JE256395,6/6/2021 22:30,055XX W WASHINGTON BLVD,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1522,15,29,25,6,1139376,1900200,2021,6/13/2021 16:53,41.88225903,-87.76367422,(41.88225903-87.76367422)
12387714,JE257339,6/6/2021 22:30,063XX W ARDMORE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1622,16,45,10,6,1132758,1938149,2021,6/13/2021 16:53,41.98651343,-87.78708812,(41.98651343-87.78708812)
12387312,JE257009,6/6/2021 22:30,061XX N CICERO AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,FALSE,FALSE,1711,17,39,12,14,1143282,1940167,2021,6/13/2021 16:53,41.99186025,-87.74832971,(41.99186025-87.74832971)
12387385,JE256398,6/6/2021 22:28,114XX S EMERALD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,FALSE,FALSE,2233,22,34,49,14,1173366,1828956,2021,6/13/2021 16:53,41.68607067,-87.64096951,(41.68607067-87.64096951)
12387135,JE256628,6/6/2021 22:25,014XX S TRUMBULL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1021,10,24,29,7,1153600,1892907,2021,6/13/2021 16:53,41.86197529,-87.71163716,(41.86197529-87.71163716)
12386803,JE256387,6/6/2021 22:24,012XX W MARQUETTE RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,724,7,17,67,15,1169026,1860348,2021,6/13/2021 16:53,41.77230953,-87.65595303,(41.77230953-87.65595303)
12386801,JE256402,6/6/2021 22:22,027XX S LAWNDALE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,FALSE,FALSE,1032,10,22,30,15,1152150,1885447,2021,6/13/2021 16:53,41.84153284,-87.71715642,(41.84153284-87.71715642)
12386874,JE256474,6/6/2021 22:20,057XX S ELIZABETH ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,713,7,16,67,3,1168967,1866814,2021,6/13/2021 16:53,41.79005429,-87.65598259,(41.79005429-87.65598259)
12387320,JE256399,6/6/2021 22:20,042XX W ROSCOE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1731,17,30,16,14,1147580,1922267,2021,6/13/2021 16:53,41.94265969,-87.73298158,(41.94265969-87.73298158)
12387784,JE256389,6/6/2021 22:19,054XX S ARCHER AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,FALSE,FALSE,814,8,14,56,26,1145070,1869741,2021,6/13/2021 16:53,41.79856968,-87.74353361,(41.79856968-87.74353361)
12386805,JE256409,6/6/2021 22:19,108XX S WENTWORTH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,513,5,34,49,08B,1176868,1833131,2021,6/13/2021 16:53,41.69744954,-87.62802428,(41.69744954-87.62802428)
12386781,JE256380,6/6/2021 22:10,010XX W BELMONT AVE,460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,FALSE,FALSE,1924,19,44,6,08B,1168893,1921421,2021,6/13/2021 16:53,41.9399019,-87.65467105,(41.9399019-87.65467105)
12386829,JE256397,6/6/2021 22:09,062XX N SHERIDAN RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,2433,24,48,77,08B,1168498,1941517,2021,6/13/2021 16:53,41.99505453,-87.65553849,(41.99505453-87.65553849)
12387279,JE256745,6/6/2021 22:05,003XX E 35TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,211,2,4,35,04B,1179278,1881856,2021,6/13/2021 16:53,41.83110167,-87.61771601,(41.83110167-87.61771601)
12386869,JE256374,6/6/2021 22:04,027XX S STATE ST,041A,BATTERY,AGGRAVATED - HANDGUN,CHA PARKING LOT / GROUNDS,FALSE,FALSE,133,1,3,35,04B,1176730,1886544,2021,6/13/2021 16:53,41.84402377,-87.62692325,(41.84402377-87.62692325)
12387266,JE256391,6/6/2021 22:04,062XX W CORNELIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1633,16,36,17,08B,1134253,1922622,2021,6/13/2021 16:53,41.94387953,-87.78195693,(41.94387953-87.78195693)
12386866,JE256425,6/6/2021 22:00,003XX E GARFIELD BLVD,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,231,2,3,40,08B,1179640,1868628,2021,6/13/2021 16:53,41.79479466,-87.61679251,(41.79479466-87.61679251)
12387798,JE257630,6/6/2021 22:00,020XX N LAMON AVE,930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,POLICE FACILITY / VEHICLE PARKING LOT,TRUE,FALSE,2522,25,36,19,7,1143368,1913167,2021,6/13/2021 16:53,41.9177683,-87.7486909,(41.9177683-87.7486909)
12387310,JE256805,6/6/2021 22:00,008XX E 48TH ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,223,2,4,39,5,1182628,1873365,2021,6/13/2021 16:53,41.80772451,-87.60568861,(41.80772451-87.60568861)
12387110,JE256650,6/6/2021 22:00,084XX S MICHIGAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,632,6,6,44,6,1178625,1849008,2021,6/13/2021 16:53,41.74097844,-87.62111023,(41.74097844-87.62111023)
